EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AvgSatisfaction,SatGroup,AttrRisk,AttrReason,Recommendations
RM1222,45,36-45,False,Non-Travel,Research & Development,1,1,Life Sciences,3,Male,2,3,Healthcare Representative,3,Married,10748,10k-15k,3,False,23,4,4,1,25,3,2,23,15,14,4,3.0,Medium,False,,
RM1139,50,46-55,False,Travel_Frequently,Research & Development,20,5,Medical,2,Male,3,4,Healthcare Representative,3,Married,11245,10k-15k,2,True,15,3,3,1,32,3,3,30,8,12,13,2.8,Medium,False,,
RM915,55,46-55,False,Non-Travel,Research & Development,8,1,Medical,4,Male,2,4,Healthcare Representative,2,Divorced,13577,10k-15k,1,True,15,3,4,1,34,3,3,33,9,15,0,3.2,High,False,,
RM127,58,55+,True,Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,3,Healthcare Representative,4,Married,10312,10k-15k,1,False,12,3,4,1,40,3,2,40,10,15,6,3.5,High,False,,
RM312,45,36-45,False,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,3,3,Laboratory Technician,1,Divorced,5210,5k-10k,1,False,18,3,1,1,24,2,3,24,9,9,11,1.5,Low,False,,
RM678,49,46-55,False,Travel_Rarely,Research & Development,8,2,Other,1,Female,3,3,Laboratory Technician,2,Married,7403,5k-10k,4,False,11,3,3,1,29,3,2,26,9,1,7,2.0,Low,False,,
RM585,42,36-45,False,Travel_Frequently,Research & Development,8,3,Life Sciences,2,Male,3,5,Manager,4,Divorced,18430,15k+,1,False,13,3,2,1,24,4,2,24,7,14,9,2.5,Medium,False,,
RM120,43,36-45,False,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,3,4,Manager,4,Married,16959,15k+,1,True,12,3,4,2,25,3,4,25,12,4,12,3.8,High,False,,
RM923,44,36-45,False,Travel_Rarely,Research & Development,4,2,Life Sciences,3,Male,4,5,Manager,1,Divorced,19190,15k+,1,False,14,3,4,2,26,4,2,25,9,14,13,2.5,Medium,False,,
RM245,45,36-45,False,Travel_Rarely,Research & Development,1,3,Other,3,Male,4,5,Manager,4,Married,19202,15k+,0,False,11,3,3,1,25,2,3,24,0,1,7,3.2,High,False,,
RM914,45,36-45,True,Travel_Rarely,Sales,2,3,Marketing,1,Female,1,5,Manager,2,Single,18824,15k+,2,True,16,3,1,0,26,2,3,24,10,1,11,1.8,Low,False,,
RM862,46,46-55,False,Travel_Rarely,Sales,2,3,Marketing,3,Female,3,4,Manager,1,Married,17048,15k+,8,False,23,4,1,0,28,2,3,26,15,15,9,2.0,Low,False,,
RM1136,46,46-55,False,Travel_Rarely,Sales,1,4,Life Sciences,4,Male,4,4,Manager,1,Single,17567,15k+,1,False,15,3,2,0,27,5,1,26,0,0,12,2.0,Low,False,,
RM593,47,46-55,False,Travel_Rarely,Research & Development,2,2,Other,3,Female,3,4,Manager,4,Married,16752,15k+,1,True,11,3,3,1,26,3,2,26,14,3,0,3.0,Medium,False,,
RM426,50,46-55,False,Travel_Rarely,Research & Development,29,4,Life Sciences,2,Male,2,4,Manager,3,Married,17046,15k+,0,False,15,3,2,1,28,2,3,27,10,15,7,2.5,Medium,False,,
RM478,50,46-55,False,Travel_Frequently,Human Resources,3,3,Medical,1,Male,3,5,Manager,2,Married,18200,15k+,1,False,11,3,3,1,32,2,3,32,5,10,7,2.2,Medium,False,,
RM654,50,46-55,False,Non-Travel,Research & Development,2,4,Life Sciences,1,Male,3,4,Manager,1,Divorced,17924,15k+,1,False,11,3,4,1,31,3,3,31,6,14,7,2.2,Medium,False,,
RM919,51,46-55,False,Travel_Frequently,Sales,9,3,Life Sciences,4,Male,3,5,Manager,2,Divorced,19847,15k+,4,True,24,4,1,1,31,5,2,29,10,11,10,2.2,Medium,False,,
RM963,51,46-55,False,Travel_Rarely,Human Resources,5,3,Life Sciences,3,Male,3,4,Manager,2,Divorced,14026,10k-15k,1,True,11,3,2,1,33,2,3,33,9,0,10,2.5,Medium,False,,
RM191,52,46-55,False,Travel_Rarely,Research & Development,1,4,Life Sciences,3,Male,2,5,Manager,3,Married,19999,15k+,0,False,14,3,1,1,34,5,3,33,18,11,9,2.5,Medium,False,,
RM238,52,46-55,False,Non-Travel,Sales,2,4,Life Sciences,1,Male,2,5,Manager,3,Single,19068,15k+,1,True,18,3,4,0,33,2,4,33,7,15,12,3.0,Medium,False,,
RM562,52,46-55,False,Travel_Rarely,Sales,3,4,Marketing,3,Male,2,4,Manager,1,Married,16856,15k+,1,False,11,3,1,0,34,3,4,34,6,1,16,2.2,Medium,False,,
RM750,52,46-55,True,Travel_Rarely,Sales,2,1,Marketing,1,Female,1,5,Manager,4,Married,19845,15k+,1,False,15,3,4,1,33,3,3,32,14,6,9,3.0,Medium,False,,
RM019,53,46-55,False,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,15427,15k+,2,False,16,3,3,0,31,3,3,25,8,3,7,2.8,Medium,False,,
RM271,55,46-55,False,Travel_Rarely,Research & Development,1,3,Medical,4,Male,3,5,Manager,1,Single,19045,15k+,0,True,14,3,3,0,37,2,3,36,10,4,13,2.8,Medium,False,,
RM1117,55,46-55,False,Travel_Rarely,Sales,26,5,Marketing,3,Male,2,5,Manager,4,Married,19586,15k+,1,False,21,4,3,1,36,3,3,36,6,2,13,3.2,High,False,,
RM412,60,55+,False,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Female,3,5,Manager,1,Married,19566,15k+,5,False,11,3,4,0,33,5,1,29,8,11,10,1.8,Low,False,,
RM1112,53,46-55,True,Travel_Rarely,Research & Development,2,5,Technical Degree,3,Female,2,3,Manufacturing Director,4,Married,10169,10k-15k,0,False,16,3,2,1,34,4,3,33,7,1,9,3.0,Medium,False,,
RM391,43,36-45,False,Travel_Rarely,Research & Development,12,3,Life Sciences,1,Male,2,4,Research Director,2,Divorced,14336,10k-15k,1,False,11,3,3,1,25,3,3,25,10,3,9,2.2,Medium,False,,
RM474,49,46-55,False,Travel_Rarely,Research & Development,18,4,Life Sciences,4,Male,2,5,Research Director,3,Divorced,19502,15k+,1,True,17,3,3,1,31,5,3,31,9,0,9,3.2,High,False,,
RM063,50,46-55,False,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,15k+,5,True,12,3,4,1,29,2,2,27,3,13,8,2.8,Medium,False,,
